sequence,v115@vhH5DJOkBlgBzkBlmBcsBKtB3qB,v115@vhHT/IlgBypBlmBcsBOtB5oB3qB,v115@vhH5DJTfBllB3mBcsBKtBmpBlqB,v115@vhHNEJzgB3mBcsBNtBGqB5oBaqB,v115@vhHOEJlgBzkB0mB3qBFtB5oBisB
TTLJZSOI,X,X,X,X,X
TTLJZOIS,X,X,X,X,X
TTLJZOSI,X,X,X,X,X
TTLJOISZ,X,X,X,X,X
TTLJOIZS,X,X,X,X,X
TTLJOSIZ,X,X,X,X,X
TTLJOSZI,X,X,X,X,X
TTLJOZIS,X,X,X,X,X
TTLJOZSI,X,X,X,X,X
TTLSIJZO,X,X,X,X,X
TTLSIJOZ,X,X,X,X,X
TTLSIZJO,X,X,X,X,X
TTLSIZOJ,X,X,X,X,X
TTLSIOJZ,X,X,X,X,X
TTLSIOZJ,X,X,X,X,X
TTLSJIZO,X,X,X,X,X
TTLSJIOZ,X,X,X,X,X
TTLSJZIO,X,X,X,X,X
TTLSJZOI,X,X,X,X,X
TTLSJOIZ,X,X,X,X,X
TTLSJOZI,X,X,X,X,X
TTLSZIJO,X,X,X,X,X
TTLSZIOJ,X,X,X,X,X
TTLSZJIO,X,X,X,X,X
TTLSZJOI,X,X,X,X,X
TTLSZOIJ,X,X,X,X,X
TTLSZOJI,X,X,X,X,X
TTLSOIJZ,X,X,X,X,X
TTLSOIZJ,X,X,X,X,X
TTLSOJIZ,X,X,X,X,X
TTLSOJZI,X,X,X,X,X
TTLSOZIJ,X,X,X,X,X
TTLSOZJI,X,X,X,X,X
TTLZIJSO,X,X,X,X,X
TTLZIJOS,X,X,X,X,X
TTLZISJO,X,X,X,X,X
TTLZISOJ,X,X,X,X,X
TTLZIOJS,X,X,X,X,X
TTLZIOSJ,X,X,X,X,X
TTLZJISO,X,X,X,X,X
TTLZJIOS,X,X,X,X,X
TTLZJSIO,X,X,X,X,X
TTLZJSOI,X,X,X,X,X
TTLZJOIS,X,X,X,X,X
TTLZJOSI,X,X,X,X,X
TTLZSIJO,X,X,X,X,X
TTLZSIOJ,X,X,X,X,X
TTLZSJIO,X,X,X,X,X
TTLZSJOI,X,X,X,X,X
TTLZSOIJ,X,X,X,X,X
TTLZSOJI,X,X,X,X,X
TTLZOIJS,X,X,X,X,X
TTLZOISJ,X,X,X,X,X
TTLZOJIS,X,X,X,X,X
TTLZOJSI,X,X,X,X,X
TTLZOSIJ,X,X,X,X,X
TTLZOSJI,X,X,X,X,X
TTLOIJSZ,X,X,X,X,X
TTLOIJZS,X,X,X,X,X
TTLOISJZ,X,X,X,X,X
TTLOISZJ,X,X,X,X,X
TTLOIZJS,X,X,X,X,X
TTLOIZSJ,X,X,X,X,X
TTLOJISZ,X,X,X,X,X
TTLOJIZS,X,X,X,X,X
TTLOJSIZ,X,X,X,X,X
TTLOJSZI,X,X,X,X,X
TTLOJZIS,X,X,X,X,X
TTLOJZSI,X,X,X,X,X
TTLOSIJZ,X,X,X,X,X
TTLOSIZJ,X,X,X,X,X
TTLOSJIZ,X,X,X,X,X
TTLOSJZI,X,X,X,X,X
TTLOSZIJ,X,X,X,X,X
TTLOSZJI,X,X,X,X,X
TTLOZIJS,X,X,X,X,X
TTLOZISJ,X,X,X,X,X
TTLOZJIS,X,X,X,X,X
TTLOZJSI,X,X,X,X,X
TTLOZSIJ,X,X,X,X,X
TTLOZSJI,X,X,X,X,X
TTJILSZO,X,X,X,X,X
TTJILSOZ,X,X,X,X,X
TTJILZSO,X,X,X,X,X
TTJILZOS,X,X,X,X,X
TTJILOSZ,X,X,X,X,X
TTJILOZS,X,X,X,X,X
TTJISLZO,X,X,X,X,X
TTJISLOZ,X,X,X,X,X
TTJISZLO,X,X,X,X,X
TTJISZOL,X,X,X,X,X
TTJISOLZ,X,X,X,X,X
TTJISOZL,X,X,X,X,X
TTJIZLSO,X,X,X,X,X
TTJIZLOS,X,X,X,X,X
TTJIZSLO,X,X,X,X,X
TTJIZSOL,X,X,X,X,X
TTJIZOLS,X,X,X,X,X
